test,tot_cyc,tot_insn,iter
0,8494558719,19805002410,1000000
1,8458053897,19581000721,1000000
2,8437369748,19354000635,1000000
3,8260729108,19183000733,1000000
4,8154406310,18860000742,1000000
5,8129088545,18785000742,1000000
6,8040863606,18558000734,1000000
7,8019884982,18331000730,1000000
8,7911786771,18160000722,1000000
9,7817298485,17901000710,1000000
10,7789406733,17778000720,1000000
11,7704774188,17551000696,1000000
12,7614380307,17324000700,1000000
13,7547804164,17153000702,1000000
14,7531368412,16862000115,1000000
15,7420054945,16763000671,1000000
16,7399520587,16536000548,1000000
17,7313663075,16309000528,1000000
18,7789620201,16138000494,1000000
19,7520994447,15879000518,1000000
20,7068749678,15732000537,1000000
21,7037968009,15505000635,1000000
22,6923311550,15334000559,1000000
23,6804286227,14947000501,1000000
24,6854952465,14920000618,1000000
25,6758629817,14693000641,1000000
26,6676191246,14466000635,1000000
27,6564043956,14295000616,1000000
28,6474258440,14036000621,1000000
29,6436942703,13913000614,1000000
30,6410120565,13686000618,1000000
31,6271172959,13459000491,1000000
32,6228335935,13288000584,1000000
33,6114479852,12997000532,1000000
34,6084110338,12898000593,1000000
35,6047644913,12671000591,1000000
36,5922527360,12444000571,1000000
37,5863196878,12273000575,1000000
38,5769740044,12014000564,1000000
39,5733494863,11891000576,1000000
40,5662348471,11664000422,1000000
41,5629890603,11437000468,1000000
42,5569373943,11266000575,1000000
43,5404101452,10943000534,1000000
44,5435991144,10868000539,1000000
45,5362862623,10641000513,1000000
46,5225194868,10414000469,1000000
47,5122166706,10243000518,1000000
48,5022171416,9984000504,1000000
49,4961562513,9861000510,1000000
