test,tot_cyc,tot_insn,iter
0,8456007125,19759002457,1000000
1,9060281865,21551000807,1000000
2,9703867829,23312000823,1000000
3,12713564873,24869000883,1000000
4,13229857025,26534001075,1000000
5,13672495551,27987001133,1000000
6,14112521118,29356001121,1000000
7,14543415807,30697001153,1000000
8,14846942837,31866001143,1000000
9,15107743226,33063001216,1000000
10,16884364813,34096001363,1000000
11,15687345016,35101001239,1000000
12,15858158987,35838001243,1000000
13,17673328629,36795001350,1000000
14,16319932120,37492001296,1000000
15,16454921609,38105001314,1000000
16,16581759466,38690001332,1000000
17,16662268668,39103001326,1000000
18,16774534756,39568001346,1000000
19,16843173726,39845001353,1000000
20,18172674862,40038001470,1000000
21,19586663639,40203001596,1000000
22,17916630020,40164001438,1000000
23,16700773020,40233001344,1000000
24,16686549697,40090001336,1000000
25,16467501262,39863001334,1000000
26,17527228920,39608001422,1000000
27,16195856510,39181001275,1000000
28,16026057794,38806001265,1000000
29,15808560009,38243001263,1000000
30,15637530506,37596001209,1000000
31,15384818528,36921001199,1000000
32,14829321347,36010001205,1000000
33,14573752373,35263001195,1000000
34,14212626138,34280001175,1000000
35,13769027935,33213001139,1000000
36,13369372388,32118001100,1000000
37,12804684048,30851001004,1000000
38,12361590895,29636001048,1000000
39,13218606436,28233001126,1000000
40,11223343130,26746000963,1000000
41,10663970420,25231000913,1000000
42,10031254909,23512000850,1000000
43,9447837554,21901000845,1000000
44,8774634554,20078000790,1000000
45,8125266511,18171000720,1000000
46,7375185472,16236000655,1000000
47,6661327417,14129000637,1000000
48,5815425328,12050000572,1000000
49,4989303421,9807000514,1000000
